"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Das Gaswerk der Stadt Zürich",1935,12,"Aufsatz über das Gaswerk in der Stadt Zürich 1895 bis 1935","Betriebe, Unternehmen, Gaswerk",43,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Das-Gaswerk-der-Stadt-Zuerich.pdf"
"Firmen und Firmenschicksal",1935,12,"Übersicht über die Rechtsform, Zweck, Firmenbestand, Alter der Firmen 1918 bis 1935","Betriebe, Unternehmen, Firmen, Aktiengesellschaften",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Firmen-und-Firmenschicksal.pdf"
"Nationalratswahl 1935 in der Stadt Zürich",1935,12,"Überblick über die Stimmberechtigte, Stimmbeteiligung, Wahlzettel, Parteien der Nationalrahtswahl in der Stadt Zürich 1935","Bevölkerung, Wahlen, Politik, Nationalratswahlen, Parteien",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Nationalratswahl-1935-in-der-Stadt-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1935/36",1935,12,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1935 und 1936","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1935-36.pdf"
"Zürichs Lehrlinge",1935,12,"Aufsatz über die Zürcher Lehrlinge 1935","Bildung, Lehrlinge, Berufe",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Zuerichs-Lehrlinge.pdf"
"Die Wasserversorgung der Stadt Zürich",1935,12,"Aufsatz über die Wasserversorgung der Stadt Zürich 1885 bis 1935","Betriebe, Unternehmen, Wasserversorgung",45,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Die-Wasserversorgung-der-Stadt-Zuerich.pdf"
"Sparkassenverkehr in Zürich",1935,12,"Übersicht über die städtischen Spargelder in Zürich 1914 bis 1935","Spargeld, Finanzen, Sparkassen",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Sparkassenverkehr-in-Zuerich.pdf"
"Vierteljahres-Überblick",1935,12,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1935","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",123,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürichs Bevölkerung im Jahre 1935",1936,13,"Ehen, Geburten, Tod, Wanderungsbewegung und Bevölkerungsbilanz in Zürich 1935","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1935.pdf"
"Zürcher Mietpreise und Mietindex im Frühjahr 1936",1936,13,"Die Mietpreisentwicklung in den Wohnungen in der Stadt Zürich 1936","Bauen & Wohnen, Mieten, Wohnen, Indexreihen",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Zuercher-Mietpreise-und-Mietindex-im-Fruehjahr-1936.pdf"
"Zürichs Viehstand",1936,13,"Übersicht über den schweizerischen und städtischen Viehstand 1866 bis 1936","Nutztiere",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Zuerichs-Viehstand.pdf"
"Städtische Strassenbahn Zürich 1896-1936",1936,13,"Aufsatz über die städtische Strassenbahn Zürich 1896 bis 1936","Strassenbahn, Strassenbahnlinien",47,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Staedtische-Strassenbahn-Zuerich-1896-1936.pdf"
"Kinotheater und Kinobesuch in Zürich",1936,13,"Entwicklung der Zürcher Kinotheater und Kinobesuche 1907 bis 1935","Kino, Theater",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Kinotheater-und-Kinobesuch-in-Zuerich.pdf"
"Lebensmittelpreise und Lebenskostenindex in Zürich",1936,13,"Aufsatz über die Lebensmittelpreise und den Lebenskostenindex 1909 bis 1936","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",31,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Lebensmittelpreise-und-Lebenskostenindex-in-Zuerich.pdf"
"Der Rundspruchempfang in Zürich",1936,13,"Entwicklung der Höhrer und Betriebskosten des Rundfunks in Zürich 1923 bis 1936","Unternehmen, Rundfunk, Radio",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Der-Rundspruchempfang-in-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1936/37",1936,13,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1936 und 1937","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1936-37.pdf"
"Lohn- und Arbeitsverhältnisse der Heimarbeiter in der Zürcher Konfektionsindustrie",1936,13,"Überblick über die Lohn- und Arbeitsverhältnisse der Heimarbeiter in der städtischen Konfektionsindustrie 1888 bis 1930","Löhne, Arbeitsmarkt, Heimarbeiter, Konfektionsindustrie, Arbeitsverhältnisse",47,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Lohn--und-Arbeitsverhaeltnisse-der-Heimarbeiter-in-der-Zuercher-Konfektionsindustrie.pdf"
"Der Vollbrotverbrauch in der Stadt Zürich",1936,13,"Verbrauch und Umsatz des Brotes in der Stadt Zürich 1937","Brot, Lebensmittel",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Der-Vollbrotverbrauch-in-der-Stadt-Zuerich.pdf"
"Die leerstehenden Geschäftslokale in Zürich und ihre Mietpreise",1936,13,"Überblick über die leerstehenden Geschäfslokale und deren Mietpreise in der Stadt Zürich 1927 bis 1936","Mieten, Geschäftslokale",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Die-leerstehenden-Geschaeftslokale-in-Zuerich-und-ihre-Mietpreise.pdf"
"Vierteljahres-Überblick",1936,13,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1936","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",118,"https://statistik.stadt-zuerich.ch/modules/StatNat/1936/1936_ZSN_Vierteljahres-Ueberblick.pdf"
"Das Elektrizitätswerk der Stadt Zürich",1937,14,"Aufsatz über das Elektrizitätswerk der Stadt Zürich 1937","Betriebe, Unternehmen, Elektrizitätswerk, Albulawerk, Heidwerk, Wäggitalwerk",67,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Das-Elektrizitaetswerk-der-Stadt-Zuerich.pdf"
"30 Jahre Zürcher Wohnungsbau",1937,14,"Überblick über den Zürcher Wohnungbau mit den neu erstellten Wohnungen in Stadt und Vororten 1907 bis 1936","Bauen & Wohnen, Bautätigkeit, Neubauwohnungen, Wohnungen, Gebäude",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_30-Jahre-Zuercher-Wohnungsbau.pdf"
"Die Versicherungskasse für Beamte, Angestellte und Arbeiter der Stadt Zürich 1913-1936",1937,14,"Übersicht auf die Versicherungskasse für Beamte, Angestellte und Arbeiter der Stadt Zürich 1913 bis 1936","Gesundheit, Bevölkerung, Krankheiten, Versicherung",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Die-Versicherungskasse-fuer-Beamte-Angestellte-und-Arbeiter-der-Stadt-Zuerich-1913-1936.pdf"
"Zürichs Bevölkerung im Jahre 1936",1937,14,"Ehen, Geburten, Tod, Wanderungsbewegung und Bevölkerungsbilanz in Zürich 1936","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1936.pdf"
"Ansteckende Krankheiten in Zürich",1937,14,"Übersicht über die Ansteckenden Krankheiten und Seuchen in Zürich 1855 bis 1937","Bevölkerung, Sterbefälle, Todesfälle, Todesursachen, , Krankheiten, Seuchen, Epidemie",57,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Ansteckende-Krankheiten-in-Zuerich.pdf"
"Zürichs Wirtschaft seit der Abwertung",1937,14,"Überblick der Wirtschaft aus der Bevölkerungsbewegung, Arbeitslosen, Ausbezahlte Taggelder, Bau und Wohnungswesen und Hotelerie 1936 bis 1937","Arbeitsmarkt, Beschäftigte, Bevölkerung, Preise, Unternehmen",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Zuerichs-Wirtschaft-seit-der-Abwertung.pdf"
"Zürcher Bau- und Wohnungsmarkt 1937/38",1937,14,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1937 bis 1938","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1937-38.pdf"
"Gemeinderats- und Stadtratswahlen 1938",1937,14,"Übersicht über die Wahlbeteiligung der Gemeinde- und Stadtratswahlen 1938 in Zürich","Politik, Stadtratswahlen, Ständeratswahlen, Wahlen, Parteistärke, Parteizugehörige",54,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Gemeinderats--und-Stadtratswahlen-1938.pdf"
"Einige Betrachtungen zur Leerwohnungsstatistik",1937,14,"Überblick über die Leerwohnungsstatistik der Stadt Zürich 1937","Bauen & Wohnen, Gebäude, Leerwohnungen, Wohnbautätigkeit, Wohnungen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Einige-Betrachtungen-zur-Leerwohnungsstatistik.pdf"
"Vierteljahres-Überblick",1937,14,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1937","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Fremdenverkehr, Luftverkehr",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1937/1937_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürcher Sterbetafeln 1896-05 bis 1926-33",1938,15,"Überblick über die Sterblichkeit der Stadt Zürich 1896 bis 05 und 1926 bis 1933","Altersklassen, Geschlecht, Todesfälle, Todesursachen, Säuglingssterben, Bevölkerungsbewegung",62,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Zuercher-Sterbetafeln-1896-05-bis-1926-33.pdf"
"Einkommens- und Vermögensaufbau der Zürcher Bevölkerung",1938,15,"Steuerpflichtige Männer und Frauen der Stadt Zürich nach Einkommen und Vermögen 1921 bis 1934","Steuern, Finanzen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Einkommens--und-Vermoegensaufbau-der-Zuercher-Bevoelkerung.pdf"
"Fremdenverkehr in Zürich 1925 bis 1937",1938,15,"Gäste- und Übernachtungszahlen der Stadt Zürcher, Inland- und Auslandgäste 1925 bis 1937","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Fremdenverkehr-in-Zuerich-1925-bis-1937.pdf"
"Zürichs Bevölkerung im Jahre 1937",1938,15,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1937","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1937.pdf"
"Zürcher Haushaltungsrechnungen 1937/38",1938,15,"Die Zusammensetzung der Haushaltungen, Ein- und Ausgaben der Stadt Zürich 1937/38","Bevölkerung, Preise, Einkommen, Ausgaben",47,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Zuercher-Haushaltungsrechnungen-1937-38.pdf"
"Zürcher Bau- und Wohnungsmarkt",1938,15,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1938 und 1939","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude, Neubauten",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Zuercher-Bau--und-Wohnungsmarkt.pdf"
"Die Finanzlage der Stadt Zürich Ende 1938",1938,15,"Entwicklung und Vergleich der Finanzen der Stadt Zürich 1938","Steuern, Finanzen",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Die-Finanzlage-der-Stadt-Zuerich-Ende-1938.pdf"
"Gedenktafeln in Zürich",1938,15,"Überblick über die Helden und andere hervorragenden Mitbürger in der Stadt Zürich im Jahre 1300 bis 1800","Bevölkerung, Kultur, Nationalität",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Gedenktafeln-in-Zuerich.pdf"
"Vierteljahres-Überblick",1938,15,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1938","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1938/1938_ZSN_Vierteljahres-Ueberblick.pdf"
"Zwanzig Jahre Zürcher Steuergesetz",1939,16,"Überblick über die Einnahmen und Reinerträge an ordentlichen und ausserordentlichen Gemeindesteuern der Werke 1919 bis 1939","Steuern, Finanzen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Zwanzig-Jahre-Zuercher-Steuergesetz.pdf"
"Zürichs Bevölkerung im Jahre 1938",1939,16,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1938","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1938.pdf"
"Kantonsratswahlen 1939 in der Stadt Zürich",1939,16,"Übersicht über die Parteistärke und der Kantonsratsitze nach Parteien der Kantonalratswahl in der Stadt Zürich 1939","Bevölkerung, Wahlen, Politik, Kantonsratswahlen, Parteien",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Kantonsratswahlen-1939-in-der-Stadt-Zuerich.pdf"
"Gemeindeabstimmungen in der Stadt Zürich 1893-1939",1939,16,"Übersicht über die Rechtsgrundlagen und Anteil der Stimmberechtigten an der Bevölkerung der Stadt Zürich 1893 bis 1939","Bevölkerung, Wahlen, Politik, Gemeinden",40,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Gemeindeabstimmungen-in-der-Stadt-Zuerich-1893-1939.pdf"
"Der Zürcher Boden und seine Nutzung",1939,16,"Prozentualer Anteil der verschiedenen Benutzungsarten an der Gesamtfläche nach Stadtkreisen der Stadt Zürich 1894 bis 1934","Bautätigkeit, Lebensraum, Quartiere, Wohnflächenverbrauch, Bodennutzung, Grundeigentum, Stadtgebiet",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Der-Zuercher-Boden-und-seine-Nutzung.pdf"
"Das Abfuhrwesen der Stadt Zürich",1939,16,"Übersicht über die Geschichte und die Entwicklung des Kehrichtabfuhrwagen in der Stadt Zürich 1939","Betriebe",52,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Das-Abfuhrwesen-der-Stadt-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1939/40",1939,16,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1939/40","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1939-40.pdf"
"Zürichs Bevölkerung im Jahr 1939",1939,16,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1939","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Zuerichs-Bevoelkerung-im-Jahr-1939.pdf"
"Fremdenverkehr im Landesausstellungsjahr 1939",1939,16,"Überblick der Gäste und Übernachtungen in Zürich 1939","Tourismus, Nationalität, Aufenthaltsart, Hotel, Reisen, Übernachtungen",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Fremdenverkehr-im-Landesausstellungsjahr-1939.pdf"
"Vierteljahres-Überblick",1939,16,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1939","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt, Luftverkehr",132,"https://statistik.stadt-zuerich.ch/modules/StatNat/1939/1939_ZSN_Vierteljahres-Ueberblick.pdf"
"Lebensmittelpreise, Lebenshaltungskosten und Lebenskostenindex",1940,17,"Übersicht über die Preisentwicklung der Lebensmittelpreise und den Lebenskostenindex der Stadt Zürich 1909 bis 1939","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",39,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Lebensmittelpreise-Lebenshaltungskosten-und-Lebenskostenindex.pdf"
"Die Fabrikbetriebe in der Stadt Zürich",1940,17,"Überblick über die Fabrikbetriebe, Arbeiter und Betriebskraft nach Betriebsgruppen in Zürich 1882 bis 1939","Arbeitsmarkt, Beschäftigte, Bevölkerung, Betriebe, Fabriken",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Die-Fabrikbetriebe-in-der-Stadt-Zuerich.pdf"
"Vom Zürcher Klima",1940,17,"Übersicht über die Wetterverhältnisse in Zürich 1864 bis 1939","Wetter, Temperaturen",47,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Vom-Zuercher-Klima.pdf"
"Zürcher Denkmäler",1940,17,"Übersicht über die Zürcher Denkmäler von Ulrich Zwingli über Alfred Escher, Johann Heinrich Pestalozzi und andere im Jahre 1940","Bevölkerung, Kultur, Nachnamen, Geschichte",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Zuercher-Denkmaeler.pdf"
"Körpermessungen an Zürcher Volksschülern",1940,17,"Kennzahlen und Resultate der Körpermessungen an Zürcher Volksschülern 1934 bis1939","Kinder, Gesundheit, Geschlecht, Schule",59,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Koerpermessungen-an-Zuercher-Volksschuelern.pdf"
"Zürcher Bau- und Wohnungsmarkt 1940/41",1940,17,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1940/41","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1940-41.pdf"
"Zürichs Bevölkerung im Jahre 1940 u. im Jahrzehnt 1931/1940",1940,17,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1931 bis 1940","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",38,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1940-u-im-Jahrzehnt-1931-1940.pdf"
"Arbeitslosigkeit in Zürich",1940,17,"Die Statistische Erfassung der Arbeitslosigkeit in der Schweiz und die Entwicklung des Zürcher Arbeitsmarktes 1901 bis 1940","Arbeitslose, Arbeitsmarkt, Bevölkerung, Bevölkerungsentwicklung, Branchen",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Arbeitslosigkeit-in-Zuerich.pdf"
"Vierteljahres-Überblick",1940,17,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1940","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1940/1940_ZSN_Vierteljahres-Ueberblick.pdf"
"Die obligatorische Krankenpflegeversicherung Zürichs",1941,18,"Einnahmen und Ausgaben der städtischen Vertragskassen 1928 bis 1940","Gesundheit, , Krankenpflegeversicherung, Versicherung",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Die-obligatorische-Krankenpflegeversicherung-Zuerichs.pdf"
"Zürichs Viehstand im Frühjahr 1941",1941,18,"Übersicht über den schweizerischen und städtischen Viehstand 1941","Nutztiere",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Zuerichs-Viehstand-im-Fruehjahr-1941.pdf"
"Friedhöfe und Bestattungswesen in der Stadt Zürich einst und jetzt",1941,18,"Die Rechtlichen Grundlagen und Organisation des Bestattungswesen der Stadt Zürich 1893 bis 1940","Sterbefälle, Todesfälle, Bestattungen",62,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Friedhoefe-und-Bestattungswesen-in-der-Stadt-Zuerich-einst-und-jetzt.pdf"
"Zur Statistik der Lebenshaltungskosten",1941,18,"Entwicklung des Zürcher Lebenskosten-Index 1914 bis 1941","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Zur-Statistik-der-Lebenshaltungskosten.pdf"
"Die Altersbeihilfe der Stadt Zürich",1941,18,"Überblick über die Altersbeihilfe an Männer, Frauen und an Ehepaare in der Stadt Zürich 1921 bis 1941","Bevölkerung, Alter, Beihilfe",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Die-Altersbeihilfe-der-Stadt-Zuerich.pdf"
"Bautätigkeit und Wohnungsmarkt im Jahr 1941",1941,18,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1941","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Bautaetigkeit-und-Wohnungsmarkt-im-Jahr-1941.pdf"
"Die eidgenössischen Volksabstimmungen in Stadt und Kanton Zürich und im Bund 1848-1942",1941,18,"Überblick über die Volksabstimmung 1848-1942 nach der Höhe der Stimmbeteiligung in Stadt und Kanton Zürich sowie im Bund 1848 bis 1942","Wahlen, Bevölkerung",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Die-eidgenoessischen-Volksabstimmungen-in-Stadt-und-Kanton-Zuerich-und-im-Bund-1848-1942.pdf"
"Die bisherige und zukünftige Entwicklung der Schülerzahl in der Stadt Zürich",1941,18,"Die Entwicklung der Schülerzahl der Zürcher Städtischen Schulen seit 1893 bis 1941","Bildung, Kinder, , Schüler",26,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Die-bisherige-und-zukuenftige-Entwicklung-der-Schuelerzahl-in-der-Stadt-Zuerich.pdf"
"Vierteljahres-Überblick",1941,18,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1941","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1941_ZSN_Vierteljahres-Ueberblick.pdf"
"Ergebnisse der Eidgenössischen Krisenabgabe in Zürich",1942,19,"Überblick über die Krisenabgabebeträge Natürlicher Personen nach Beruf, Einkommen und Vermögen in der Stadt Zürich 1942","Bevölkerung, Löhne, Steuern",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Ergebnisse-der-Eidgenoessischen-Krisenabgabe-in-Zuerich.pdf"
"Zürichs Bevölkerung im Jahr 1941",1941,19,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1941","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1941/1942_ZSN_Zuerichs-Bevoelkerung-im-Jahr-1941.pdf"
"Der neue Zürcher Baukostenindex",1942,19,"Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich ab 1914 bis 1942","Wohnbaupreise, Indexreihen, Preise , Baukosten",42,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Der-neue-Zuercher-Baukostenindex.pdf"
"Die Lebenskosten ausserhalb des Indexes 1939 bis 1942",1942,19,"Preisbewegung der im Zürcher Lebenskostenindex nicht berücksichtigte Artikel wie Gemüse, Obst, Wein, Tabak, 1939 bis 1942","Ernährung, Haushalte, Preise",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Die-Lebenskosten-ausserhalb-des-Indexes-1939-bis-1942.pdf"
"Zürcher Lebenskostenindex seit 1914",1942,19,"Entwicklung des Zürcher Lebenskostenindex 1914 bis 1942","Indexreihen, Konsumentenpreise, Preise",1,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Zuercher-Lebenskostenindex-seit-1914.pdf"
"Zürichs Bevölkerung am 1. Dezember 1941",1942,19,"Hauptergebnisse der Eidgenössischen Volkszählung 1941","Bevölkerung, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Zuerichs-Bevoelkerung-am-1-Dezember-1941.pdf"
