"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Vom Zürcher Klima",1928,5,"Überblick über das Klima der Stadt Zürich 1866 bis 1925","Klima, Wetter",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Vom-Zuercher-Klima.pdf"
"Geburtenrückgang in Zürich nach sozialen Schichten",1928,5,"Entwicklung des Geburtenrückgangs nach den sozialen Schichten in Zürich 1876 bis 1927","Geburten, Bevölkerungsbewegung",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Geburtenrueckgang-in-Zuerich-nach-sozialen-Schichten.pdf"
"Arbeitslöhne in der zürcherischen Privatwirtschaft",1928,5,"Überblick über die Arbeitslöhne in der zürcherischen Privatwirtschaft 1905 bis 1927","Löhne",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Arbeitsloehne-in-der-zuercherischen-Privatwirtschaft.pdf"
"Bau- und Wohnungsmarkt Mitte 1928",1928,5,"Übersicht über die Wohnbautätigkeit in Zürich 1928","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Bau- & Wohnungsmarkt",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Bau--und-Wohnungsmarkt-Mittte-1928.pdf"
"Motorfahrzeuge in Zürich 1928",1928,5,"Überblick über die Motorfahrzeuge in Zürich 1928","Auto, Motorrad, Motorfahrzeuge",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Motorfahrzeuge-in-Zuerich-1928.pdf"
"Mietzinssteigerung in Zürich nach der Höhe der Aufschläge 1927",1927,5,"Überblick über die Mitzinssteigerung im Vergleich zu der Vorkriegszeit 1927","Mieten, Wohnen, Mietwohnungen, Wohnungen",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1927/1928_ZSN_Mietzinssteigerung-Zuerich-nach-der-Hoehe-der-Aufschlaege.pdf"
"Zürcher Badesaison 1928",1928,5,"Übersicht über die städtischen Badeanstalten in Zürich 1928","Badeanstalten",3,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Zuercher-Badesaison-1928.pdf"
"Gesamtarbeitsverträge in Zürich 1928",1928,5,"Übersicht über die Gesamtarbeitsverträge mit den Vertragsinhalten in Zürich 1928","Löhne, Arbeitsmarkt, Gesamtarbeitsverträge, Arbeit",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Gesamtarbeitsvertraege-in-Zuerich-1928.pdf"
"Zürcher Wohnungsmarkt 1928/29",1928,5,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden, neu erstellten Wohnungen und ein Ausblick im Jahre 1928","Bauen & Wohnen, Grundstückpreise, Gebäude, Liegenschaftenhandel, Wohnungen",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Zuercher-Wohnungsmarkt-1928-29.pdf"
"Wohnungsmarkt in den Vororten Ende 1928",1928,5,"Übersicht über die Wohnungssituation in den Vororten von Zürich 1928","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Wohnungsmarkt-in-den-Vororten-Ende-1928.pdf"
"Markt der Geschäftslokale in Zürich Ende 1928",1928,5,"Übersicht über die Marktlage der Geschäftslokale in Zürich 1928","Bautätigkeit, Gebäude, Geschäftslokale",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Markt-der-Geschaeftslokale-in-Zuerich-Ende-1928.pdf"
"Krankenpflege-Versicherung der Stadt Zürich",1928,5,"Einführung der obligatorischen Krankenpflegeversicherung und deren Durchführung in Zürich 1928","Krankenpflegeversicherung, Versicherung",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Krankenpflegeversicherung-der-Stadt-Zuerich.pdf"
"Zürichs Bevölkerung im Jahre 1928",1928,5,"Ehen, Geburten, Tod, Wanderungsbewegung und Bevölkerungsbilanz in Zürich 1928","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1928.pdf"
"Zürcher Lebenskostenindex 1914 bis 1928",1928,5,"Entwicklung des Zürcher Lebenskostenindex 1914 bis 1928","Indexreihen, Konsumentenpreise, Preise",39,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Zuercher-Lebenskostenindex-1914-bis-1928.pdf"
"Vierteljahres-Überblick",1928,5,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Wohnungsmarkt und der Preise der einzelnen Quartale im Überblick 1928","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Konsumentenpreise, Sterbefälle, Bauen & Wohnen, Bevölkerungsbilanz, Arbeitsmarkt, Verkehr",106,"https://statistik.stadt-zuerich.ch/modules/StatNat/1928/1928_ZSN_Vierteljahres-Ueberblick.pdf"
"Fürsorgestatistik der Stadt Zürich",1929,6,"Fürsorge des städtischen Wohlfahrtsamtes 1929","Fürsorge, Hilfestellungen, wirtschaftliche Hilfe, persönliche Hilfe",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Fuersorgestatistik-der-Stadt-Zuerich.pdf"
"Zürcher Strassenverkehrsunfälle 1926 bis 1928",1929,6,"Zürcher Strassenverkehrsunfälle nach Unfallort, Stadtkreisen, Unfallzeit, Anzahl Unfälle, Unfallfolgen, und Unfallursachen 1926 bis 1928","Unfälle, Verkehr",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Zuercher-Strassenverkehrsunfaelle-1926-bis-1928.pdf"
"Motorfahrzeuge in Zürich 1928",1929,6,"Überblick über die Motorfahrzeuge in Zürich und der Schweiz 1928","Auto, Motorrad, Motorfahrzeuge",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Motorfahrzeuge-in-Zuerich-1928.pdf"
