"objectid","id","sensor_eui","zeitpunkt","temperature","humidity","latitude","longitude","noise","sit","geometry"
"3174","3174","0080E115003BDA59","20220904012351","17.48","84.70","47.36991990","8.54091610","45","0","POINT (2683255.5 1247148.8)"
"3175","3175","0080E115003BDA59","20220904005351","17.48","84.70","47.36991990","8.54091610","45","0","POINT (2683255.5 1247148.8)"
"3176","3176","0080E115003BDA59","20220904002351","17.48","84.70","47.36991990","8.54091610","45","0","POINT (2683255.5 1247148.8)"
"4584","4661","0080E1150017F5F8","20220906221429","19.25","89.65","47.36992420","8.54096110","45","0","POINT (2683259 1247149.4)"
"4587","4664","0080E1150017F5F8","20220906204429","19.25","89.65","47.36992420","8.54096110","45","0","POINT (2683259 1247149.4)"
"8209","8517","0080E1150017F5F8","20220811152614","26.59","35.01","47.36990890","8.54090590","45","30","POINT (2683254.8 1247147.6)"
"8210","8518","0080E1150017F5F8","20220811145614","26.59","35.01","47.36990890","8.54090590","45","64","POINT (2683254.8 1247147.6)"
"8211","8519","0080E1150017F5F8","20220811142614","26.59","35.01","47.36990890","8.54090590","45","57","POINT (2683254.8 1247147.6)"
"8212","8520","0080E1150017F5F8","20220811135614","26.59","35.01","47.36990890","8.54090590","45","36","POINT (2683254.8 1247147.6)"
"11109","14541","0080E115003BDA59","20220916091949","17.38","76.78","47.36990320","8.54090740","45","0","POINT (2683255 1247147)"
"11110","14542","0080E115003BDA59","20220916084949","17.38","76.78","47.36990320","8.54090740","45","0","POINT (2683255 1247147)"
"11111","14543","0080E115003BDA59","20220916081949","17.38","76.78","47.36990320","8.54090740","45","0","POINT (2683255 1247147)"
"11112","14544","0080E115003BDA59","20220916074949","17.38","76.78","47.36990320","8.54090740","45","0","POINT (2683255 1247147)"
"14784","8697","0080E1150017F5F8","20220811214254","24.24","43.48","47.36991480","8.54089280","45","0","POINT (2683253.8 1247148.2)"
"14785","8698","0080E1150017F5F8","20220811211254","24.24","43.48","47.36991480","8.54089280","45","0","POINT (2683253.8 1247148.2)"
"14786","8699","0080E1150017F5F8","20220811204254","24.24","43.48","47.36991480","8.54089280","45","21","POINT (2683253.8 1247148.2)"
"14787","8700","0080E1150017F5F8","20220811201254","24.24","43.48","47.36991480","8.54089280","45","0","POINT (2683253.8 1247148.2)"
"18019","25341","0080E115003BC8D7","20220827060516","18.16","88.30","47.36990510","8.54092870","45","0","POINT (2683256.5 1247147.1)"
"18020","25342","0080E115003BC8D7","20220827053516","18.16","88.30","47.36990510","8.54092870","45","0","POINT (2683256.5 1247147.1)"
"18021","25343","0080E115003BC8D7","20220827050516","18.16","88.30","47.36990510","8.54092870","45","0","POINT (2683256.5 1247147.1)"
"18022","25344","0080E115003BC8D7","20220827043516","18.16","88.30","47.36990510","8.54092870","45","0","POINT (2683256.5 1247147.1)"
"18086","26488","0080E115003BDA59","20220828075742","19.14","83.91","47.36991310","8.54093280","45","0","POINT (2683256.8 1247148.1)"
"18872","25545","0080E115003BC8D7","20220827142618","23.86","61.28","47.36992060","8.54091480","45","0","POINT (2683255.5 1247148.9)"
"18873","25546","0080E115003BC8D7","20220827135618","23.86","61.28","47.36992060","8.54091480","45","0","POINT (2683255.5 1247148.9)"
"18874","25547","0080E115003BC8D7","20220827132618","23.86","61.28","47.36992060","8.54091480","45","6","POINT (2683255.5 1247148.9)"
"18875","25548","0080E115003BC8D7","20220827125618","23.86","61.28","47.36992060","8.54091480","45","6","POINT (2683255.5 1247148.9)"
"19600","23465","0080E115003BC8D7","20220825142848","26.42","50.58","47.36991590","8.54089960","45","57","POINT (2683254.2 1247148.4)"
"19601","23466","0080E115003BC8D7","20220825135848","26.42","50.58","47.36991590","8.54089960","45","76","POINT (2683254.2 1247148.4)"
"19602","23467","0080E115003BC8D7","20220825132848","26.42","50.58","47.36991590","8.54089960","45","62","POINT (2683254.2 1247148.4)"
"19603","23468","0080E115003BC8D7","20220825125848","26.42","50.58","47.36991590","8.54089960","45","20","POINT (2683254.2 1247148.4)"
"7900","7989","0080E115003BCA55","20220910191357","18.59","55.01","47.37008970","8.54155310","45","0","POINT (2683303.2 1247168.4)"
"7901","7990","0080E115003BCA55","20220910184357","18.59","55.01","47.37008970","8.54155310","45","0","POINT (2683303.2 1247168.4)"
"7902","7991","0080E115003BCA55","20220910181357","18.59","55.01","47.37008970","8.54155310","45","0","POINT (2683303.2 1247168.4)"
"7903","7992","0080E115003BCA55","20220910174357","18.59","55.01","47.37008970","8.54155310","48","0","POINT (2683303.2 1247168.4)"
"8588","15033","0080E1150017A139","20220817095003","24.49","55.45","47.37001720","8.54155430","45","0","POINT (2683303.5 1247160.2)"
"8589","15034","0080E1150017A139","20220817092003","24.49","55.45","47.37001720","8.54155430","45","0","POINT (2683303.5 1247160.2)"
"8590","15035","0080E1150017A139","20220817085003","24.49","55.45","47.37001720","8.54155430","45","27","POINT (2683303.5 1247160.2)"
"8591","15036","0080E1150017A139","20220817082003","24.49","55.45","47.37001720","8.54155430","45","47","POINT (2683303.5 1247160.2)"
"8973","16285","0080E115003BCA55","20220818203004","18.42","89.58","47.37008230","8.54158910","45","0","POINT (2683306 1247167.6)"
"8974","16286","0080E115003BCA55","20220818200004","18.42","89.58","47.37008230","8.54158910","45","0","POINT (2683306 1247167.6)"
"8975","16287","0080E115003BCA55","20220818193004","18.42","89.58","47.37008230","8.54158910","48","0","POINT (2683306 1247167.6)"
"8976","16288","0080E115003BCA55","20220818190004","18.42","89.58","47.37008230","8.54158910","48","0","POINT (2683306 1247167.6)"
"9001","16313","0080E1150017A139","20220818212831","18.47","84.26","47.37011050","8.54160330","45","0","POINT (2683307 1247170.8)"
"9002","16314","0080E1150017A139","20220818205831","18.47","84.26","47.37011050","8.54160330","45","0","POINT (2683307 1247170.8)"
"9003","16315","0080E1150017A139","20220818202831","18.47","84.26","47.37011050","8.54160330","45","0","POINT (2683307 1247170.8)"
"9220","16316","0080E1150017A139","20220818195831","18.47","84.26","47.37011050","8.54160330","45","0","POINT (2683307 1247170.8)"
"11858","17022","0080E115003BCA55","20220819063420","18.31","89.59","47.37009920","8.54157800","45","0","POINT (2683305.2 1247169.5)"
"11859","17023","0080E115003BCA55","20220819060420","18.31","89.59","47.37009920","8.54157800","45","0","POINT (2683305.2 1247169.5)"
"11860","17024","0080E115003BCA55","20220819053420","18.31","89.59","47.37009920","8.54157800","45","0","POINT (2683305.2 1247169.5)"
"12099","17047","0080E1150017A139","20220819065906","18.57","86.90","47.37004380","8.54160030","45","0","POINT (2683307 1247163.2)"
"12100","17048","0080E1150017A139","20220819062906","18.57","86.90","47.37004380","8.54160030","45","0","POINT (2683307 1247163.2)"
"12149","17097","0080E1150017A139","20220819100503","18.55","88.00","47.37005000","8.54160110","45","0","POINT (2683307 1247164)"
"12151","17099","0080E1150017A139","20220819090503","18.55","88.00","47.37005000","8.54160110","45","0","POINT (2683307 1247164)"
"12853","14993","0080E1150017A139","20220817074425","22.34","56.95","47.37004680","8.54156280","45","0","POINT (2683304.2 1247163.6)"
"12854","14994","0080E1150017A139","20220817071425","22.34","56.95","47.37004680","8.54156280","45","0","POINT (2683304.2 1247163.6)"
"12855","14995","0080E1150017A139","20220817064425","22.34","56.95","47.37004680","8.54156280","45","0","POINT (2683304.2 1247163.6)"
"12856","14996","0080E1150017A139","20220817061425","22.34","56.95","47.37004680","8.54156280","45","0","POINT (2683304.2 1247163.6)"
"13070","12905","0080E1150017A139","20220815072901","19.86","72.03","47.37004780","8.54155000","45","0","POINT (2683303.2 1247163.8)"
"13156","9453","0080E115003BC996","20220812054113","19.07","50.75","47.37006400","8.54157570","45","0","POINT (2683305 1247165.5)"
"13157","9454","0080E115003BC996","20220812051113","19.07","50.75","47.37006400","8.54157570","45","0","POINT (2683305 1247165.5)"
"13158","9455","0080E115003BC996","20220812044113","19.07","50.75","47.37006400","8.54157570","45","0","POINT (2683305 1247165.5)"
"13159","9456","0080E115003BC996","20220812041113","19.07","50.75","47.37006400","8.54157570","45","0","POINT (2683305 1247165.5)"
"13379","12997","0080E1150017A139","20220815114055","24.58","51.99","47.36999570","8.54155920","45","6","POINT (2683304 1247157.9)"
"13380","12998","0080E1150017A139","20220815111055","24.58","51.99","47.36999570","8.54155920","45","15","POINT (2683304 1247157.9)"
"13381","12999","0080E1150017A139","20220815104055","24.58","51.99","47.36999570","8.54155920","45","6","POINT (2683304 1247157.9)"
"13382","13000","0080E1150017A139","20220815101055","24.58","51.99","47.36999570","8.54155920","45","12","POINT (2683304 1247157.9)"
"13834","11869","0080E115003BC996","20220814075343","19.02","52.72","47.37006760","8.54156850","51","8","POINT (2683304.5 1247165.9)"
"13835","11870","0080E115003BC996","20220814072343","19.02","52.72","47.37006760","8.54156850","48","0","POINT (2683304.5 1247165.9)"
"13836","11871","0080E115003BC996","20220814065343","19.02","52.72","47.37006760","8.54156850","45","0","POINT (2683304.5 1247165.9)"
"14218","13193","0080E1150017A139","20220815200423","20.45","66.39","47.37010790","8.54157360","45","100","POINT (2683304.8 1247170.4)"
"18763","23276","0080E1150017A139","20220825045713","18.67","75.67","47.37002920","8.54157700","45","0","POINT (2683305.2 1247161.6)"
"19336","23417","0080E1150017A139","20220825124411","25.81","49.31","47.37003090","8.54158780","45","0","POINT (2683306 1247161.9)"
"19339","23420","0080E1150017A139","20220825111411","25.81","49.31","47.37003090","8.54158780","45","0","POINT (2683306 1247161.9)"
"19395","24197","0080E115003BCA55","20220826012219","21.54","69.11","47.37616210","8.54405050","45","0","POINT (2683482.5 1247846.1)"
