Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,,,261495,69431,34379,40.9,66.9,33.1,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,2,Kreis 1+2,22796,6210,3724,44.8,62.5,37.5,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,3,Kreis 3,28190,7325,4250,42.5,63.3,36.7,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,4,Kreis 4+5,24017,5933,3403,40.1,63.5,36.5,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,5,Kreis 6,19192,6416,3016,50.7,68,32,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,6,Kreis 7+8,31014,11243,4269,51.4,72.5,27.5,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,7,Kreis 9,30764,7761,4089,39.6,65.5,34.5,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,8,Kreis 10,23983,7586,3844,49,66.4,33.6,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,9,Kreis 11,36698,8715,4734,37.6,64.8,35.2,,
5/19/2019,1,Eidgenossenschaft,Bundesgesetz vom 28.09.2018 über die Steuerreform und die AHV-Finanzierung (STAF),3,Stadt Zürich,10,Kreis 12,15824,2942,1792,30.7,62.1,37.9,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),1,Eidgenossenschaft,,,5439853,1501880,854274,43.9,63.7,36.3,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),2,Kanton Zürich,,,940851,281836,117468,43,70.6,29.4,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,,,261495,87042,18777,41,82.3,17.7,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,2,Kreis 1+2,22796,8219,1808,44.6,82,18,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,3,Kreis 3,28190,10054,1815,42.7,84.7,15.3,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,4,Kreis 4+5,24017,8500,1101,40.4,88.5,11.5,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,5,Kreis 6,19192,8342,1304,50.8,86.5,13.5,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,6,Kreis 7+8,31014,13420,2312,51.4,85.3,14.7,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,7,Kreis 9,30764,9409,2627,39.8,78.2,21.8,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,8,Kreis 10,23983,9751,1919,49.2,83.6,16.4,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,9,Kreis 11,36698,10465,3183,37.7,76.7,23.3,,
5/19/2019,1,Eidgenossenschaft,Bundesbeschluss vom 28.09.2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),3,Stadt Zürich,10,Kreis 12,15824,3378,1427,30.9,70.3,29.7,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,,,231649,76625,12269,39.4,86.2,13.8,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,2,Kreis 1+2,22797,7449,1330,39.7,84.9,15.1,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,3,Kreis 3,28098,9288,1253,38.7,88.1,11.9,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,4,Kreis 4+5,23962,7607,835,36.1,90.1,9.9,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,5,Kreis 6,19125,7534,1057,46.1,87.7,12.3,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,6,Kreis 7+8,30869,11680,2210,46.2,84.1,15.9,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,7,Kreis 9,30689,9330,1608,36.5,85.3,14.7,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,8,Kreis 10,23893,9029,1449,44.9,86.2,13.8,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,9,Kreis 11,36572,10867,1868,35.6,85.3,14.7,,
2/10/2019,3,Stadt Zürich,"Neubau Alterszentrum und Wohnsiedlung Eichrain, Quartier Seebach, Objektkredit von 131,91 Millionen Franken",3,Stadt Zürich,10,Kreis 12,15644,3841,659,29.5,85.4,14.6,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,,,231649,77427,10841,39.2,87.7,12.3,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,2,Kreis 1+2,22797,7559,1160,39.5,86.7,13.3,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,3,Kreis 3,28098,9318,1151,38.5,89,11,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,4,Kreis 4+5,23962,7638,752,36.1,91,9,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,5,Kreis 6,19125,7617,895,45.9,89.5,10.5,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,6,Kreis 7+8,30869,11990,1749,45.9,87.3,12.7,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,7,Kreis 9,30689,9677,1303,36.5,88.1,11.9,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,8,Kreis 10,23893,9415,1091,45,89.6,10.4,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,9,Kreis 11,36572,10598,1942,35.3,84.5,15.5,,
2/10/2019,3,Stadt Zürich,"Energieverbund Altstetten und Höngg-West, Objektkredit von 128,7 Millionen Franken",3,Stadt Zürich,10,Kreis 12,15644,3615,798,29.3,81.9,18.1,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),2,Kanton Zürich,,,909790,109211,249824,40.5,30.4,69.6,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,,,231649,25693,63640,40,28.8,71.2,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,2,Kreis 1+2,22797,2609,6372,40.9,29.1,70.9,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,3,Kreis 3,28098,2716,7898,39.4,25.6,74.4,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,4,Kreis 4+5,23962,2289,6128,36.8,27.2,72.8,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,5,Kreis 6,19125,2247,6370,46.8,26.1,73.9,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,6,Kreis 7+8,30869,4337,9723,47.1,30.8,69.2,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,7,Kreis 9,30689,3300,7643,36.8,30.2,69.8,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,8,Kreis 10,23893,2823,7621,45.4,27,73,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,9,Kreis 11,36572,3905,8831,35.8,30.7,69.3,,
2/10/2019,2,Kanton Zürich,Hundegesetz (Änderung vom 28. Mai 2018; praktische Hundeausbildung),3,Stadt Zürich,10,Kreis 12,15644,1467,3054,30,32.4,67.6,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),2,Kanton Zürich,,,909790,165033,198223,40.7,45.4,54.6,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,,,231649,35465,56086,40.4,38.7,61.3,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,2,Kreis 1+2,22797,3905,5234,41.1,42.7,57.3,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,3,Kreis 3,28098,3471,7496,39.9,31.6,68.4,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,4,Kreis 4+5,23962,2757,5979,37.2,31.6,68.4,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,5,Kreis 6,19125,3250,5609,47.3,36.7,63.3,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,6,Kreis 7+8,30869,6475,7965,47.7,44.8,55.2,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,7,Kreis 9,30689,4709,6432,37.1,42.3,57.7,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,8,Kreis 10,23893,4031,6655,45.8,37.7,62.3,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,9,Kreis 11,36572,5095,7865,36.2,39.3,60.7,,
2/10/2019,2,Kanton Zürich,Wassergesetz (WsG) (vom 9. Juli 2018),3,Stadt Zürich,10,Kreis 12,15644,1772,2851,30.3,38.3,61.7,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,1,Eidgenossenschaft,,,5429641,737241,1291513,37.9,36.3,63.7,23    ,0
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,2,Kanton Zürich,,,938315,148438,222301,40.2,40,60,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,,,260174,47675,49762,38.3,48.9,51.1,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,2,Kreis 1+2,22797,4491,4741,41.3,48.6,51.4,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,3,Kreis 3,28098,6020,4955,40,54.9,45.1,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,4,Kreis 4+5,23962,5059,3706,37.5,57.7,42.3,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,5,Kreis 6,19125,4559,4329,47.5,51.3,48.7,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,6,Kreis 7+8,30869,6489,8014,47.8,44.7,55.3,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,7,Kreis 9,30689,5190,5993,37.2,46.4,53.6,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,8,Kreis 10,23893,5358,5368,45.9,50,50,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,9,Kreis 11,36572,6034,6952,36,46.5,53.5,,
2/10/2019,1,Eidgenossenschaft,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,3,Stadt Zürich,10,Kreis 12,15644,2234,2382,30.3,48.4,51.6,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,,,231387,67590,58078,55.9,53.8,46.2,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,2,Kreis 1+2,22814,6877,5564,56.1,55.3,44.7,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,3,Kreis 3,27982,7838,7134,55.3,52.4,47.6,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,4,Kreis 4+5,23964,6693,6300,55.8,51.5,48.5,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,5,Kreis 6,19093,6324,5515,63.9,53.4,46.6,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,6,Kreis 7+8,30878,11100,8071,63.9,57.9,42.1,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,7,Kreis 9,30595,8550,7096,52.4,54.6,45.4,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,8,Kreis 10,23879,7071,7846,64.2,47.4,52.6,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,9,Kreis 11,36609,9786,7667,48.9,56.1,43.9,,
11/25/2018,3,Stadt Zürich,"Gewährung von Baurechten für die Realisierung eines Fussballstadions, von gemeinnützigem Wohnungsbau und zwei Hochhäusern auf dem Areal Hardturm, Übertragung von zwei Grundstücken ins Verwaltungsvermögen, Objektkredit von 50,15823 Millionen Franken und Einnahmeverzicht von jährlich 1,72666 Millionen Franken",3,Stadt Zürich,10,Kreis 12,15573,3351,2885,41.2,53.7,46.3,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,1,Eidgenossenschaft,,,5420789,1144845,1384027,48.3,45.3,54.7,5    ,18    
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,2,Kanton Zürich,,,936062,223171,240483,51.3,48.1,51.9,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,,,259578,69077,61989,52.8,52.7,47.3,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,2,Kreis 1+2,22814,6676,5732,56.9,53.8,46.2,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,3,Kreis 3,27982,8249,6456,55.4,56.1,43.9,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,4,Kreis 4+5,23964,7200,5539,55.8,56.5,43.5,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,5,Kreis 6,19093,6265,5458,64.3,53.4,46.6,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,6,Kreis 7+8,30878,9704,9365,64.5,50.9,49.1,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,7,Kreis 9,30595,7991,7231,51.9,52.5,47.5,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,8,Kreis 10,23879,7828,6696,63.7,53.9,46.1,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,9,Kreis 11,36609,8618,8653,49.1,49.9,50.1,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 23. März 2016 «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,3,Stadt Zürich,10,Kreis 12,15573,3380,2750,40.9,55.1,44.9,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,1,Eidgenossenschaft,,,5420789,872288,1713501,48.4,33.7,66.3,0,23    
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,2,Kanton Zürich,,,936062,152627,323251,51.7,32.1,67.9,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,,,259578,28482,107970,53.5,20.9,79.1,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,2,Kreis 1+2,22814,2776,10173,57.7,21.4,78.6,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,3,Kreis 3,27982,2639,12844,56.2,17,83,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,4,Kreis 4+5,23964,1728,11774,57,12.8,87.2,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,5,Kreis 6,19093,1969,10274,65,16.1,83.9,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,6,Kreis 7+8,30878,3636,16199,65.3,18.3,81.7,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,7,Kreis 9,30595,4068,11705,52.5,25.8,74.2,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,8,Kreis 10,23879,2844,12296,64.5,18.8,81.2,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,9,Kreis 11,36609,4953,12853,49.5,27.8,72.2,,
11/25/2018,1,Eidgenossenschaft,Volksinitiative vom 12. August 2016 «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,3,Stadt Zürich,10,Kreis 12,15573,2143,4194,41.6,33.8,66.2,,
