Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,5,Kreis 6,19832,3070,7888,57.1,28,72,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,6,Kreis 7+8,31842,4595,12840,56.5,26.4,73.6,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,7,Kreis 9,32043,4200,9829,45.3,29.9,70.1,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,8,Kreis 10,24455,3680,9429,55.4,28.1,71.9,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,9,Kreis 11,38058,4681,10748,42,30.3,69.7,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,10,Kreis 12,15464,1780,3544,35.8,33.4,66.6,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Für ein Grundrecht auf digitale Integrität»,3,Stadt Zürich,,,237157,32574,79906,49.1,29,71,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,2,Kanton Zürich,,,941331,176479,257474,46.8,40.7,59.3,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,2,Kreis 1+2,23372,6460,5232,50.7,55.3,44.7,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,3,Kreis 3,27707,9418,4381,50.4,68.3,31.7,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,4,Kreis 4+5,24384,8659,3463,50.2,71.4,28.6,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,5,Kreis 6,19832,6739,4566,57.9,59.6,40.4,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,6,Kreis 7+8,31842,8342,9623,57.2,46.4,53.6,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,7,Kreis 9,32043,9100,5499,46.2,62.3,37.7,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,8,Kreis 10,24455,8465,5156,56.4,62.1,37.9,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,9,Kreis 11,38058,9054,6905,42.6,56.7,43.3,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,10,Kreis 12,15464,3432,2121,36.5,61.8,38.2,,
11/30/2025,2,Kanton Zürich,A. Kantonale Volksinitiative «Mehr bezahlbare Wohnungen im Kanton Zürich»,3,Stadt Zürich,,,237157,69669,46946,49.8,59.7,40.3,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,2,Kanton Zürich,,,941331,177424,222476,45.5,44.4,55.6,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,2,Kreis 1+2,23372,5862,4939,49.3,54.3,45.7,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,3,Kreis 3,27707,7867,4812,48.8,62,38,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,4,Kreis 4+5,24384,7364,3865,48.6,65.6,34.4,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,5,Kreis 6,19832,6228,4295,56.4,59.2,40.8,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,6,Kreis 7+8,31842,8341,8239,55.6,50.3,49.7,,
